product_type,agri_nonagri_type,product_segment,material_group_description,material_code,material_description,uom,price,custom_1,custom_2,custom_3,custom_4,custom_5,material_code_new,REMARKS,CHANGES
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1156,200MM 4KG/CM2 SELFIT,MTR,1339.5,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-4KG,AH1145,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1157,200MM 6KG/CM2 SELFIT,MTR,1939,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-6KG,AH1146,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1158,200MM 8KG/CM2 SELFIT,MTR,2524.5, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-8KG,AH1147,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1159,200MM 10KG/CM2 SELFIT,MTR,3083, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-10KG,AH1148,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1160,225MM 2.5KG/CM2 SELFIT,MTR,1145.5, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-2.5KG,AH1149,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1161,225MM 4KG/CM2 SELFIT,MTR,1743, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-4KG,AH1155,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1162,225MM 6KG/CM2 SELFIT,MTR,2533.5, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-6KG,AH1156,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1163,225MM 8KG/CM2 SELFIT,MTR,3264.5, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-8KG,AH1157,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1164,225MM 10KG/CM2 SELFIT,MTR,4029, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-10KG,AH1158,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1170,250MM 2.5KG/CM2 SELFIT,MTR,1383.5, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-2.5KG,AH1159,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1171,250MM 4KG/CM2 SELFIT,MTR,2136.5, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-4KG,AH1166,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1166,250MM 4KG/CM2 SELFIT (3 MTR),MTR,2136.5, PRICE PER MTR,SELFIT,3,NULL,AGRI SELFIT PIPE-4KG,AH1269,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1172,250MM 6KG/CM2 SELFIT,MTR,3171, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-6KG,AH1167,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1173,250MM 8KG/CM2 SELFIT,MTR,4126, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-8KG,AH1168,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1174,250MM 10KG/CM2 SELFIT,MTR,5016, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-10KG,AH1169,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1175,280MM 2.5KG/CM2 SELFIT,MTR,1772.5, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-2.5KG,AH1177,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1176,280MM 4KG/CM2 SELFIT,MTR,2708.5, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-4KG,AH1178,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1177,280MM 6KG/CM2 SELFIT,MTR,3970, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-6KG,AH1179,,
AGRI HIGH DIA PIPE,AGRI,PIPES,AGRI HIGH DIA PIPE,1178,280MM 8KG/CM2 SELFIT,MTR,5135, PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-8KG,AH1188,,
